"Name","Center Code","IOTA","Exists 2025","Baseline Y1 - Transplants","Baseline Y2 - Transplants","Baseline Y3 - Transplants","Performance Y1 - Transplants","Performance Y1 - Organ Offer Acceptance Rate","Performance Y1 - Graft Survival Rate","Pediatric Center"
"00 - Not sure","","","","","","","","","",""
"BSW Uterus","","","","","","","","","",""
"University of Alabama Hospital","ALUA","1","1.0","314.0","282.0","254.0","243.0","0.8","94.0",""
"Birmingham VA Medical Center","ALVA","0","1.0","8.0","3.0","6.0","2.0","0.2","100.0",""
"Arkansas Children's Hospital","ARCH","0","1.0","9.0","5.0","4.0","8.0","0.7","","1.0"
"UAMS Medical Center","ARUA","1","1.0","184.0","155.0","172.0","144.0","1.0","95.8",""
"Phoenix Children's Hospital","AZCH","0","1.0","22.0","10.0","9.0","14.0","1.0","","1.0"
"Banner-University Medical Center Phoenix","AZGS","0","1.0","66.0","90.0","115.0","91.0","1.2","97.7",""
"Mayo Clinic Hospital Arizona","AZMC","0","1.0","454.0","470.0","502.0","501.0","2.0","94.2",""
"St. Joseph's Hospital and Medical Center","AZSJ","0","1.0","57.0","68.0","53.0","60.0","0.9","96.8",""
"Banner University Medical Center-Tucson","AZUA","0","1.0","86.0","94.0","97.0","64.0","1.2","96.3",""
"Rady Children's Hospital and Health Center","CACH","0","1.0","9.0","11.0","9.0","12.0","0.6","100.0","1.0"
"Childrens Hospital Los Angeles","CACL","0","1.0","22.0","22.0","17.0","19.0","0.8","","1.0"
"Cedars-Sinai Medical Center","CACS","1","1.0","268.0","285.0","335.0","316.0","1.4","95.6",""
"Scripps Green Hospital","CAGH","1","1.0","62.0","51.0","61.0","49.0","0.7","97.9",""
"University of California Irvine Medical Center","CAIM","1","1.0","126.0","127.0","133.0","221.0","1.8","94.2",""
"Harbor UCLA Medical Center","CALA","1","1.0","27.0","36.0","39.0","48.0","0.3","95.6",""
"Loma Linda University Medical Center","CALL","1","1.0","203.0","257.0","264.0","221.0","0.9","93.5",""
"UCSF Medical Center at Mission Bay","CAMB","0","1.0","12.0","15.0","16.0","20.0","2.2","100.0","1.0"
"Lucile Salter Packard Children's Hospital at Stanford","CAPC","0","1.0","26.0","30.0","28.0","42.0","1.4","","1.0"
"California Pacific Medical Center-Van Ness Campus","CAPM","0","1.0","208.0","214.0","195.0","190.0","2.2","95.2",""
"Riverside Community Hospital","CARC","0","1.0","8.0","27.0","6.0","0.0","","83.3",""
"University of California San Diego Medical Center","CASD","1","1.0","150.0","146.0","178.0","163.0","0.9","96.8",""
"University of California San Francisco Medical Center","CASF","0","1.0","386.0","388.0","430.0","361.0","1.5","95.4",""
"Sutter Medical Center Sacramento","CASG","0","0.0","","","","","","",""
"Sharp Memorial Hospital","CASH","1","1.0","84.0","105.0","83.0","101.0","0.7","94.1",""
"Saint Joseph Hospital","CASJ","1","1.0","41.0","61.0","95.0","108.0","1.1","97.9",""
"University of California Davis Medical Center","CASM","0","1.0","282.0","245.0","310.0","310.0","1.4","96.6",""
"Stanford Health Care","CASU","0","1.0","154.0","164.0","189.0","166.0","1.4","98.3",""
"University of California at Los Angeles Medical Center","CAUC","1","1.0","418.0","385.0","355.0","383.0","1.2","95.4",""
"Keck Hospital of USC","CAUH","1","1.0","206.0","210.0","211.0","176.0","0.8","94.6",""
"Children's Hospital Colorado","COCH","0","1.0","21.0","15.0","21.0","19.0","1.3","","1.0"
"Centura Transplant / AdventHealth Porter","COPM","0","1.0","43.0","91.0","90.0","114.0","0.5","96.0",""
"Presbyterian/St Luke's Medical Center","COSL","1","1.0","55.0","62.0","54.0","64.0","0.6","96.4",""
"University of Colorado Hospital/Health Science Center","COUC","1","1.0","244.0","301.0","289.0","253.0","1.4","95.2",""
"Hartford Hospital","CTHH","0","1.0","116.0","128.0","143.0","115.0","2.1","93.5",""
"Yale New Haven Hospital","CTYN","0","1.0","121.0","131.0","126.0","106.0","1.0","96.5",""
"Children's National Medical Center","DCCH","0","1.0","13.0","20.0","14.0","13.0","0.8","","1.0"
"Medstar Georgetown Transplant Institute","DCGU","1","1.0","242.0","220.0","260.0","354.0","1.2","94.8",""
"George Washington University Hospital","DCGW","1","1.0","65.0","45.0","60.0","52.0","0.5","95.9",""
"Walter Reed National Military Medical Center at Bethesda","DCWR","1","1.0","45.0","53.0","41.0","36.0","0.8","97.3",""
"Nemours Children's Hospital Delaware","DEAI","0","1.0","9.0","3.0","8.0","8.0","1.1","","1.0"
"Christiana Care Health Services","DECC","1","1.0","23.0","29.0","42.0","45.0","0.6","95.2",""
"Johns Hopkins All Children's Hospital","FLAC","0","0.0","","","","","","","1.0"
"Broward Health Medical Center (FLBC)","FLBC","0","1.0","19.0","12.0","0.0","0.0","","83.3",""
"Cleveland Clinic Florida Weston","FLCC","0","1.0","156.0","142.0","151.0","132.0","0.8","95.9",""
"AdventHealth Orlando","FLFH","1","1.0","117.0","107.0","126.0","105.0","0.7","96.4",""
"Halifax Health","FLHM","1","1.0","20.0","13.0","12.0","3.0","0.2","88.9",""
"Memorial Regional Hospital/Joe DiMaggio Children's Hospital","FLJD","0","0.0","","","","","","","1.0"
"Jackson Memorial Hospital University of Miami School of Medicine","FLJM","0","1.0","367.0","429.0","337.0","276.0","1.8","92.8",""
"Largo Medical Center","FLLM","0","1.0","45.0","77.0","74.0","88.0","0.8","93.6",""
"Memorial Regional Hospital","FLMR","0","1.0","37.0","124.0","146.0","202.0","2.6","95.9",""
"Ascension Sacred Heart Pensacola","FLSH","0","1.0","13.0","39.0","25.0","16.0","0.3","95.8",""
"Mayo Clinic Hospital Florida","FLSL","0","1.0","226.0","224.0","206.0","219.0","0.8","93.4",""
"Tampa General Hospital","FLTG","0","1.0","328.0","404.0","459.0","500.0","2.1","94.3",""
"UF Health Shands Hospital","FLUF","0","1.0","184.0","221.0","230.0","138.0","1.2","97.4",""
"Children's Healthcare of Atlanta at Egleston","GAEH","0","1.0","24.0","15.0","24.0","21.0","1.0","100.0","1.0"
"Emory University Hospital","GAEM","1","1.0","370.0","370.0","353.0","410.0","1.0","94.8",""
"AU Medical Center, Inc.","GAMC","1","1.0","59.0","88.0","90.0","100.0","1.1","91.0",""
"Piedmont Hospital","GAPH","1","1.0","379.0","332.0","341.0","361.0","1.1","96.7",""
"The Queen's Medical Center","HIQM","0","1.0","46.0","63.0","43.0","70.0","1.6","100.0",""
"Iowa Methodist Medical Center","IAIM","1","1.0","86.0","78.0","71.0","90.0","1.3","92.4",""
"University of Iowa Hospitals and Clinics Transplant Programs","IAIV","1","1.0","111.0","95.0","111.0","78.0","0.5","94.3",""
"The Iowa City VA Health Care System","IAVA","0","1.0","17.0","7.0","9.0","11.0","0.2","93.8",""
"Advocate Christ Medical Center","ILCH","0","1.0","35.0","28.0","17.0","44.0","0.3","95.7",""
"Ann & Robert H. Lurie Children's Hospital of Chicago","ILCM","0","1.0","33.0","26.0","26.0","44.0","1.5","100.0","1.0"
"Loyola University Medical Center","ILLU","0","1.0","198.0","209.0","247.0","263.0","1.2","96.4",""
"Springfield Memorial Hospital","ILMM","0","1.0","24.0","26.0","32.0","25.0","0.7","98.3",""
"Northwestern Memorial Hospital","ILNM","0","1.0","277.0","308.0","341.0","338.0","1.5","96.9",""
"Rush University Medical Center","ILPL","0","1.0","101.0","134.0","147.0","130.0","0.8","97.4",""
"OSF Saint Francis Medical Center","ILSF","0","1.0","54.0","59.0","48.0","44.0","0.4","96.5",""
"University of Chicago Medical Center","ILUC","0","1.0","164.0","140.0","166.0","225.0","1.0","95.4",""
"University of Illinois Medical Center","ILUI","0","1.0","274.0","264.0","264.0","266.0","1.2","94.2",""
"Edward Hines Jr. Veterans Administration Medical Center","ILVA","0","1.0","36.0","64.0","110.0","68.0","0.6","94.4",""
"Indiana University Health","INIM","1","1.0","279.0","223.0","205.0","240.0","0.7","92.6",""
"Lutheran Hospital of Fort Wayne","INLH","0","0.0","0.0","0.0","","","","",""
"Ascension St. Vincent Hospital","INSV","1","1.0","72.0","80.0","75.0","87.0","0.4","98.4",""
"University of Kansas Hospital","KSUK","0","1.0","185.0","177.0","153.0","206.0","2.0","93.2",""
"Jewish Hospital (UofL - Trager Transplant)","KYJH","0","1.0","62.0","62.0","76.0","77.0","0.7","98.5",""
"Norton Children's Hospital","KYKC","0","1.0","4.0","1.0","2.0","3.0","0.3","","1.0"
"University of Kentucky Medical Center","KYUK","0","1.0","97.0","114.0","127.0","116.0","0.5","98.0",""
"Children's Hospital","LACH","0","1.0","17.0","13.0","15.0","11.0","0.7","","1.0"
"Ochsner Foundation Hospital","LAOF","1","1.0","184.0","204.0","185.0","195.0","0.9","96.4",""
"Tulane Medical Center","LATU","1","1.0","121.0","123.0","135.0","121.0","0.8","94.2",""
"Willis-Knighton Medical Center","LAWK","0","1.0","48.0","43.0","54.0","73.0","0.3","94.5",""
"Beth Israel Deaconess Medical Center","MABI","0","1.0","50.0","96.0","80.0","71.0","1.0","93.6",""
"Baystate Medical Center","MABS","0","1.0","51.0","49.0","72.0","80.0","3.1","85.8",""
"Boston Medical Center","MABU","0","1.0","35.0","23.0","19.0","66.0","0.9","91.1",""
"Boston Children's Hospital","MACH","0","1.0","27.0","14.0","27.0","26.0","1.3","","1.0"
"Lahey Clinic Medical Center","MALC","0","1.0","40.0","66.0","57.0","66.0","0.9","95.7",""
"Massachusetts General Hospital","MAMG","0","1.0","162.0","145.0","176.0","223.0","0.8","95.3",""
"Tufts Medical Center","MANM","0","1.0","37.0","69.0","52.0","51.0","0.7","94.9",""
"Brigham and Women's Hospital","MAPB","0","1.0","63.0","76.0","61.0","51.0","0.5","93.6",""
"UMass Memorial Medical Center","MAUM","0","1.0","57.0","67.0","59.0","72.0","1.0","94.5",""
"Johns Hopkins Hospital","MDJH","1","1.0","249.0","242.0","239.0","201.0","0.7","95.7",""
"University of Maryland Medical System","MDUM","1","1.0","168.0","162.0","145.0","152.0","0.5","93.4",""
"Maine Medical Center","MEMC","0","1.0","51.0","45.0","41.0","31.0","0.9","93.6",""
"Corewell Health William Beaumont Hospital","MIBH","1","1.0","75.0","81.0","91.0","80.0","0.5","96.3",""
"Children's Hospital of Michigan","MICH","0","1.0","4.0","8.0","8.0","8.0","0.4","","1.0"
"Helen DeVos Children's Hospital","MIDV","0","1.0","6.0","6.0","9.0","3.0","1.9","","1.0"
"Henry Ford Hospital","MIHF","1","1.0","79.0","111.0","130.0","136.0","1.3","94.7",""
"Henry Ford St. John Hospital","MISJ","1","1.0","26.0","35.0","28.0","30.0","0.6","94.1",""
"Mercy Health Saint Mary's","MISM","1","1.0","90.0","102.0","96.0","109.0","0.9","94.7",""
"University of Michigan Medical Center","MIUM","1","1.0","220.0","233.0","317.0","262.0","1.1","91.0",""
"Abbott Northwestern Hospital","MNAN","1","1.0","19.0","37.0","40.0","32.0","0.8","95.0",""
"Children's Minnesota","MNCM","0","0.0","","","","","","","1.0"
"Hennepin County Medical Center","MNHC","1","1.0","52.0","58.0","61.0","49.0","0.7","97.2",""
"Mayo Clinic Hospital Minnesota","MNMC","1","1.0","267.0","300.0","287.0","270.0","0.8","97.3",""
"University of Minnesota Medical Center, Fairview","MNUM","1","1.0","193.0","199.0","212.0","206.0","1.2","94.7",""
"Barnes-Jewish Hospital","MOBH","1","1.0","274.0","315.0","322.0","334.0","1.1","95.3",""
"Cardinal Glennon Children's Hospital","MOCG","0","1.0","10.0","3.0","8.0","5.0","0.7","","1.0"
"St. Louis Children's Hospital at Washington University Medical Center","MOCH","0","1.0","12.0","9.0","11.0","11.0","0.7","","1.0"
"Children's Mercy Hospital","MOCM","0","1.0","12.0","14.0","16.0","14.0","1.2","100.0","1.0"
"St Luke's Hospital of Kansas City","MOLH","0","1.0","125.0","107.0","74.0","77.0","0.8","94.6",""
"Research Medical Center","MORH","0","1.0","55.0","58.0","66.0","96.0","0.9","95.0",""
"SSM Health Saint Louis University Hospital","MOSL","1","1.0","49.0","49.0","50.0","67.0","0.3","97.6",""
"University of Missouri Hospital and Clinics","MOUM","0","1.0","8.0","15.0","12.0","12.0","0.2","89.7",""
"University of Mississippi Medical Center","MSUM","1","1.0","139.0","132.0","151.0","135.0","1.3","94.1",""
"Wake Forest Baptist Medical Center","NCBG","0","1.0","203.0","245.0","219.0","166.0","1.0","94.5",""
"Carolinas Medical Center","NCCM","0","1.0","83.0","97.0","172.0","142.0","0.5","93.5",""
"Duke University Hospital","NCDU","0","1.0","233.0","189.0","204.0","210.0","1.1","95.8",""
"Vidant Medical Center","NCEC","0","1.0","77.0","107.0","129.0","149.0","1.4","95.6",""
"University of North Carolina Hospitals","NCMH","0","1.0","150.0","151.0","153.0","163.0","0.6","96.3",""
"Sanford Bismarck Medical Center","NDMC","1","1.0","17.0","16.0","17.0","17.0","1.0","97.0",""
"Sanford Medical Center Fargo","NDSL","1","1.0","28.0","31.0","45.0","39.0","1.5","95.5",""
"The Nebraska Medical Center","NEUN","0","1.0","155.0","144.0","169.0","186.0","1.6","96.0",""
"Dartmouth Hitchcock Medical Center","NHDH","0","1.0","25.0","23.0","27.0","19.0","0.9","100.0",""
"Newark Beth Israel Medical Center","NJBI","0","1.0","0.0","1.0","1.0","0.0","","",""
"Hackensack University Medical Center","NJHK","0","1.0","116.0","242.0","323.0","339.0","3.0","93.3",""
"Virtua Our Lady of Lourdes Hospital","NJLL","0","1.0","46.0","60.0","75.0","95.0","1.4","92.8",""
"Robert Wood Johnson University Hospital","NJRW","0","1.0","68.0","59.0","75.0","69.0","0.6","90.4",""
"Saint Barnabas Medical Center","NJSB","0","1.0","344.0","345.0","390.0","379.0","2.4","93.8",""
"University Hospital, University of New Mexico Health Sciences Centera","NMAQ","0","1.0","54.0","51.0","56.0","49.0","1.0","95.2",""
"Presbyterian Hospital","NMPH","0","1.0","41.0","40.0","52.0","36.0","0.8","94.6",""
"Renown Transplant Institute 
 ","NV","0","0.0","","","","","","",""
"University Medical Center of Southern Nevada","NVUM","1","1.0","138.0","141.0","172.0","182.0","1.2","95.3",""
"Albany Medical Center Hospital","NYAM","0","1.0","29.0","35.0","34.0","34.0","0.4","98.8",""
"Long Island Jewish Medical Center-Cohen Children's Medical Center","NYCC","0","1.0","8.0","7.0","7.0","10.0","2.0","","1.0"
"NY Presbyterian Hospital/Columbia Univ. Medical Center","NYCP","1","1.0","204.0","188.0","227.0","219.0","1.7","94.5",""
"State University of New York, Downstate Medical Center","NYDS","1","1.0","43.0","61.0","60.0","44.0","1.7","89.0",""
"Erie County Medical Center","NYEC","1","1.0","138.0","140.0","140.0","136.0","2.3","88.7",""
"Strong Memorial Hospital, University of Rochester Medical Center","NYFL","1","1.0","104.0","104.0","103.0","92.0","0.9","94.6",""
"Montefiore Medical Center","NYMA","1","1.0","171.0","198.0","246.0","221.0","3.3","93.0",""
"Mount Sinai Medical Center","NYMS","1","1.0","296.0","274.0","271.0","253.0","0.7","95.5",""
"North Shore University Hospital/Northwell Health","NYNS","1","1.0","119.0","134.0","195.0","207.0","1.3","96.1",""
"New York-Presbyterian Hospital/Weill Cornell Medical Center","NYNY","0","1.0","263.0","236.0","279.0","315.0","1.7","93.4",""
"University Hospital of State University of New York at Stony Brook","NYSB","1","1.0","89.0","73.0","64.0","61.0","0.8","94.1",""
"NYU Langone Health","NYUC","1","1.0","311.0","333.0","321.0","337.0","1.5","97.0",""
"State University of New York Upstate Medical University","NYUM","1","1.0","82.0","91.0","93.0","77.0","0.9","94.6",""
"James J. Peters VA Medical Center","NYVA","1","1.0","20.0","11.0","15.0","11.0","0.2","93.5",""
"Westchester Medical Center","NYWC","1","1.0","69.0","86.0","66.0","93.0","0.7","95.0",""
"The Cleveland Clinic Foundation","OHCC","1","1.0","298.0","318.0","326.0","354.0","1.3","96.1",""
"Nationwide Children's Hospital","OHCH","0","1.0","4.0","12.0","11.0","15.0","0.4","100.0","1.0"
"Children's Hospital Medical Center","OHCM","0","1.0","34.0","24.0","23.0","29.0","1.3","100.0","1.0"
"University of Toledo Medical Center","OHCO","0","1.0","174.0","200.0","203.0","191.0","4.1","94.1",""
"Ohio State University Medical Center","OHOU","1","1.0","328.0","262.0","292.0","296.0","1.1","94.9",""
"The Christ Hospital","OHTC","0","1.0","60.0","63.0","73.0","62.0","0.6","96.5",""
"University of Cincinnati Medical Center","OHUC","0","1.0","175.0","230.0","209.0","198.0","1.3","96.6",""
"University Hospitals of Cleveland","OHUH","1","1.0","134.0","94.0","191.0","147.0","2.0","93.4",""
"Integris Baptist Medical Center","OKBC","0","1.0","78.0","86.0","104.0","114.0","0.9","96.0",""
"OU Medical Center","OKMD","0","1.0","36.0","42.0","43.0","42.0","0.7","93.1",""
"Ascension St John Medical Center","OKSJ","0","1.0","52.0","55.0","50.0","44.0","0.4","93.2",""
"Legacy Good Samaritan Hospital and Medical Center","ORGS","1","1.0","89.0","93.0","116.0","77.0","1.2","96.6",""
"Providence St. Vincent Medical Center (No Living Donation)
","ORSV","0","0.0","","","","","","",""
"Oregon Health and Science University","ORUO","1","1.0","152.0","138.0","178.0","129.0","1.2","96.7",""
"VA Portland Health Care System","ORVA","1","1.0","38.0","57.0","80.0","54.0","0.7","95.3",""
"Albert Einstein Medical Center","PAAE","1","1.0","45.0","90.0","75.0","75.0","0.9","97.2",""
"Allegheny General Hospital","PAAG","1","1.0","101.0","98.0","88.0","105.0","1.1","92.4",""
"Crozer-Chester Medical Center (PACC)","PACC","0","1.0","12.0","12.0","1.0","0.0","","76.9",""
"UPMC Children's Hospital of Pittsburgh","PACH","0","1.0","19.0","21.0","14.0","16.0","0.9","100.0","1.0"
"Children's Hospital of Philadelphia","PACP","0","1.0","18.0","15.0","24.0","24.0","0.6","","1.0"
"Geisinger Medical Center","PAGM","1","1.0","42.0","66.0","53.0","61.0","0.3","95.0",""
"Penn State Milton S Hershey Medical Center","PAHE","0","1.0","25.0","24.0","1.0","5.0","0.6","95.2",""
"Pinnacle Health System at Harrisburg Hospital","PAHH","1","1.0","41.0","66.0","61.0","83.0","0.4","96.5",""
"The Lankenau Hospital","PALH","0","1.0","13.0","8.0","6.0","0.0","","92.9",""
"Lehigh Valley Hospital","PALV","1","1.0","92.0","78.0","113.0","150.0","1.2","92.9",""
"UPMC Hamot","PAPH","0","1.0","18.0","8.0","16.0","13.0","0.2","96.8",""
"University of Pittsburgh Medical Center","PAPT","1","1.0","183.0","198.0","190.0","162.0","0.8","93.1",""
"St. Christopher's Hospital for Children","PASC","0","1.0","6.0","5.0","1.0","0.0","0.4","","1.0"
"Thomas Jefferson University Hospital","PATJ","1","1.0","94.0","93.0","92.0","107.0","0.4","96.3",""
"Temple University Hospital","PATU","1","1.0","40.0","43.0","66.0","75.0","0.2","93.1",""
"Hospital of the University of Pennsylvania","PAUP","1","1.0","207.0","224.0","241.0","273.0","0.7","96.0",""
"VA Pittsburgh Healthcare System","PAVA","1","1.0","27.0","29.0","45.0","43.0","0.2","97.7",""
"Auxilio Mutuo Hospital","PRSJ","0","1.0","66.0","53.0","70.0","92.0","1.9","97.5",""
"Rhode Island Hospital","RIRH","0","1.0","51.0","57.0","56.0","47.0","1.6","96.1",""
"MUSC Lancaster","SCLA","0","1.0","","24.0","90.0","104.0","2.3","96.7",""
"Medical University of South Carolina","SCMU","1","1.0","407.0","387.0","297.0","338.0","1.3","94.9",""
"Prisma Health Greenville Memorial Hospital","SCPG","0","1.0","","28.0","111.0","133.0","0.9","97.6",""
"Avera McKennan Hospital","SDMK","1","1.0","35.0","34.0","32.0","42.0","0.4","96.4",""
"Sanford Health/USD Medical Center","SDSV","1","1.0","22.0","21.0","17.0","27.0","0.7","96.2",""
"Erlanger Medical Center","TNEM","1","1.0","33.0","41.0","44.0","33.0","0.4","92.0",""
"Le Bonheur Children's Medical Center","TNLB","0","1.0","3.0","7.0","8.0","7.0","0.8","","1.0"
"Methodist University Hospital","TNMH","0","1.0","196.0","212.0","241.0","262.0","1.3","94.8",""
"Saint Thomas Hospital","TNST","1","1.0","93.0","100.0","162.0","192.0","2.2","90.0",""
"University of Tennessee Medical Center at Knoxville","TNUK","1","1.0","57.0","53.0","64.0","68.0","0.8","97.9",""
"Vanderbilt University Medical Center","TNVU","1","1.0","315.0","264.0","323.0","390.0","1.6","95.3",""
"Baylor Scott and White All Saints Medical Center-Fort Worth","TXAS","1","1.0","95.0","106.0","82.0","65.0","0.5","94.7",""
"University Hospital, University of Texas Health Science Center","TXBC","1","1.0","181.0","154.0","200.0","180.0","1.6","97.1",""
"Cook Children's Medical Center","TXCF","0","1.0","16.0","10.0","8.0","6.0","1.0","","1.0"
"Children's Medical Center of Dallas","TXCM","0","1.0","20.0","9.0","11.0","21.0","0.5","","1.0"
"Seton Medical Center Austin","TXCT","0","0.0","","","","","","",""
"Driscoll Children's Hospital","TXDC","0","1.0","5.0","8.0","6.0","9.0","1.4","100.0","1.0"
"Dell Children's Medical Center","TXDL","0","1.0","","2.0","0.0","0.0","","","1.0"
"North Austin Medical Center","TXDM","1","1.0","48.0","37.0","23.0","40.0","0.2","94.6",""
"Doctor's Hospital at Renaissance","TXDR","1","1.0","42.0","49.0","34.0","34.0","1.3","94.5",""
"Dell Seton Medical Center at The University of Texas at Austin","TXDS","0","1.0","","8.0","26.0","32.0","0.4","98.0",""
"Texas Health Harris Methodist Fort Worth Hospital","TXFW","1","1.0","24.0","25.0","43.0","56.0","0.6","93.0",""
"Medical City Dallas Hospital","TXHD","0","1.0","142.0","180.0","134.0","185.0","1.0","96.7",""
"Memorial Hermann Hospital, University of Texas at Houston","TXHH","1","1.0","46.0","84.0","132.0","29.0","0.5","96.9",""
"CHI St. Luke's Health Baylor College of Medicine Medical Center","TXHI","1","1.0","106.0","108.0","111.0","123.0","0.5","95.5",""
"Methodist Specialty and Transplant Hospital","TXHS","1","1.0","433.0","338.0","392.0","352.0","0.9","95.4",""
"University of Texas Medical Branch at Galveston","TXJS","0","1.0","86.0","103.0","115.0","98.0","1.4","94.4",""
"Las Palmas Medical Center","TXLP","0","1.0","45.0","51.0","63.0","56.0","1.0","92.2",""
"Methodist Dallas Medical Center","TXMC","0","1.0","120.0","149.0","118.0","166.0","1.4","92.8",""
"Houston Methodist Hospital","TXMH","1","1.0","241.0","244.0","252.0","286.0","0.6","96.0",""
"Medical City Fort Worth","TXPL","1","1.0","106.0","124.0","115.0","117.0","0.9","97.5",""
"Parkland Health and Hospital System","TXPM","0","1.0","10.0","32.0","51.0","38.0","1.3","97.8",""
"UT Southwestern Medical Center/William P. Clements Jr. University Hospital","TXSP","0","1.0","210.0","181.0","238.0","205.0","2.3","96.8",""
"Scott and White Memorial Hospital","TXSW","0","1.0","166.0","127.0","66.0","52.0","0.9","90.0",""
"Texas Children's Hospital","TXTC","0","1.0","35.0","28.0","36.0","38.0","0.5","","1.0"
"Baylor University Medical Center","TXTX","0","1.0","230.0","190.0","178.0","192.0","0.9","95.8",""
"University Children's Health","TXUC","0","1.0","15.0","18.0","18.0","24.0","2.3","","1.0"
"Michael E. DeBakey VA Medical Center","TXVA","1","1.0","20.0","23.0","40.0","32.0","0.5","96.1",""
"Intermountain Medical Center ","UTLD","1","1.0","164.0","159.0","198.0","267.0","2.7","97.4",""
"University of Utah Medical Center","UTMC","1","1.0","202.0","153.0","157.0","159.0","0.9","96.1",""
"Primary Children's Hospital","UTPC","0","1.0","15.0","15.0","11.0","10.0","1.3","","1.0"
"Children's Hospital of the King's Daughters","VACH","0","1.0","4.0","4.0","6.0","8.0","1.4","100.0","1.0"
"Inova Fairfax Hospital","VAFH","1","1.0","130.0","115.0","155.0","192.0","1.2","94.3",""
"Henrico Doctors' Hospital","VAHD","1","1.0","36.0","34.0","42.0","52.0","0.7","95.8",""
"VCU Health System Authority, VCUMCx","VAMC","1","1.0","274.0","289.0","304.0","329.0","1.3","93.4",""
"Hunter Holmes McGuire Veterans Administration Medical Center","VAMV","1","0.0","","","","","","",""
"Sentara Norfolk General Hospital","VANG","1","1.0","68.0","69.0","87.0","100.0","0.8","92.4",""
"University of Virginia Health Sciences Center","VAUV","1","1.0","148.0","184.0","195.0","240.0","1.9","93.2",""
"The University of Vermont Medical Center","VTMC","0","1.0","5.0","10.0","12.0","16.0","0.6","100.0",""
"Seattle Children's Hospital","WACH","0","1.0","30.0","13.0","24.0","24.0","2.2","100.0","1.0"
"Providence Sacred Heart Medical Center & Children's Hospital","WASH","0","1.0","41.0","48.0","35.0","59.0","0.5","96.9","1.0"
"Swedish Medical Center","WASM","0","1.0","107.0","107.0","134.0","124.0","0.6","96.3",""
"University of Washington Medical Center","WAUW","0","1.0","194.0","198.0","201.0","251.0","1.4","97.0",""
"Virginia Mason Medical Center","WAVM","0","1.0","104.0","80.0","82.0","71.0","0.7","94.7",""
"Children's Hospital of Wisconsin","WICH","0","1.0","13.0","6.0","6.0","9.0","0.8","","1.0"
"Froedtert Memorial Lutheran Hospital","WISE","0","1.0","69.0","55.0","113.0","172.0","1.2","96.8",""
"Aurora St. Luke's Medical Center","WISL","0","1.0","43.0","45.0","48.0","60.0","0.7","100.0",""
"University of Wisconsin Hospital and Clinics","WIUW","0","1.0","232.0","263.0","287.0","284.0","1.4","95.0",""
"Charleston Area Medical Center","WVCA","1","1.0","91.0","64.0","128.0","89.0","1.9","87.6",""
"West Virginia University Hospitals Inc.","WVWU","0","1.0","19.0","26.0","8.0","6.0","0.1","90.7",""